,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Idaho
8,Illinois
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,New Hampshire
24,New Jersey
25,North Dakota
26,Oklahoma
27,Oregon
28,Pennsylvania
29,Rhode Island
30,South Dakota
31,Tennessee
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
38,Wyoming
